Sentence,Type
"To me, death was a mysterious, dark, horrible thing that would catch you and drag you down into a deep abyss, away from everything and everyone you loved.",Auditory
"But they sort of ran the place, secretaries or organisers or whatever they were, and we kids loved them, really loved them and they were as warm as toast.",Auditory
He ate only the choicest foods and loved the fatty cut of tuna known as toro.,Auditory
"Later at the Pendleton home, the mother, Cleopatra Crowley-Pendleton, spoke of a daughter who loved reading and writing and Latin.",Auditory
"He was a deeply religious and holy man who was loved by the elderly people most of all, as he had a way with him that won over their deep sense of faith and warmth.",Auditory
"Early in his career he had made the mistake, at the outset of his acquaintance with a lady, of telling her that he loved her and exacting the same avowal in return.",Auditory
I've always loved when girls carry their wallets as a clutch instead of a bag.,Auditory
She has always loved Irish music and was still able to do the Irish jigs.,Auditory
"Apparently half the audience was shocked speechless, but Hawking loved it.",Auditory
"Spectators will also have the opportunity to get up close and personal with some of the most loved, and best presented classic racing cars in the world.",Auditory
"It was not commercial fiction, it was all serious fiction, but I loved it.",Auditory
"He adored her, she was the apple of his eye and she loved her dad.",Auditory
Age plus adaptivity is what makes a building come to be loved.,Auditory
"A man of great manners, deep loyalty, and a common touch, David loved parties.",Auditory
"When the teenager was 14 or 15, the suit contends, Goddard communicated that he loved John Doe.",Auditory
Whitman loved adhesiveness so because it is a friendly profusion.,Auditory
"Hitchcock loved to tell stories, elaborate, complicated rough drafts for movies he would never make.",Auditory
"Both Conductors were interesting people, retired and loved railroading.",Auditory
"He was an accomplished card player and loved to meet the locals in Garrafrauns, Brickens, Cloonfad, Irishtown or wherever his rambles would take him.",Auditory
"She loved the way the lecturer stated it, offhand, but with the air of a pompatus.",Auditory
"She loved me, my parents, my friends, her catsitters, and even visiting cable repairmen and plumbers, in whose toolboxes she liked to nap.",Auditory
"We imagined that this was a ruse on his part, for his neck loved the yoke of groomdom.",Auditory
"Loving dad of Jacquie and Gordon, much loved pop of Lisa, Calvin, Gavin and Alexin and great-grand-pop of Olivia, Bradley, Max, Joel and Alaia.",Auditory
"Despite the woodchopping and the 70-mile hikes with a blood-soaked shirt from the rucksack on my back, I loved it.",Auditory
"This guest of summer, The temple-haunting martlet, does approve By his loved mansionry that the heaven's breath Smells wooingly here.",Auditory
"After all that, I found room for some cappuccino ice cream while Erika loved her raspberry and amoretto crme brulee.",Auditory
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",Auditory
"He adds, probably his letter would be propaled and made a bauchle of, and assures them he was never loved at Court as a minister.",Auditory
The English potter and ceramist Josiah Wedgwood loved the meander.,Auditory
I had a listsib from the UK mail me a couple bottles once to try and I really loved it a lot.,Auditory
"Each loved one that thou leavest here, Some other love may wear, Each heart will have some other heart Its loneliness to share.",Auditory
"When I was young, I loved to dig and find and collect fossils.",Auditory
"I pray that our Heavenly Father may assuage the anguish of your bereavement, and leave you only the cherished memory of the loved and lost.",Auditory
"Nothing beats visiting new places, recharging the batteries and spending quality time with the loved ones.",Auditory
"I loved saying lads... like I was a comrade... like I was one of them... me and the lads... alright lads, eh... Italy, no problem.",Auditory
"I liked my very tall Aspieish doctor, loved his deep monotone and astute attention to detail and naturally, his pragmatic advice.",Auditory
"Partly because I loved milder forms of knifeplay but had never taken it as far as I'd fantasized, but mostly because of her.",Auditory
"He was his brother, Mark says. It comes into his head how much Faye loved songs. He had quite forgotten how much.",Auditory
"Jack was a truck driver. He loved over-the-road trips. Think he had a girl in every port, so to speak.",Auditory
"President Franklin Roosevelt loved Camp Pendleton, and decreed that the old ranch house... should be preserved for the ages.",Auditory
I loved him for nothing so much as his flocci-nauci-nihili-pili-fication of money.,Auditory
He loved to flabbergast his associates by announcing some startling new policy without consulting any of them.,Auditory
"Nanak stated that the human Guru is mortal and not divine, who is to be respected and loved but not worshipped.",Auditory
She loved to play cards and shocked devout Protestants by playing on Sundays.,Auditory
I have a feeling that this pie is the Marmite of the school pie world. You either loved it or you hated it.,Auditory
"However, she is convinced that her two suitors are mocking her, as neither loved her originally.",Auditory
"In practice, however, she loved only Percy Shelley and seems to have ventured no further than flirting with Hogg.",Auditory
He loved Sussex to the point of idolatry as the place where he was brought up and as his spiritual home.,Auditory
"Their marriage began to fall apart in 1901 when it occurred to Russell, while he was cycling, that he no longer loved her.",Auditory
"Above all, Emily loved to wander about the wild landscape of the moors around Haworth.",Auditory
"From all accounts, Kipling loved the outdoors, not least of whose marvels in Vermont was the turning of the leaves each fall.",Auditory
"It is an art which will never enjoy an appeal to the many, but one which will always be loved, and dearly loved, by the few.",Auditory
"The public loved the film, with lines stretching outside of cinemas as people had to wait for the next showing.",Auditory
To give the film added life is really cool for both those who missed it and those who really loved it.,Auditory
"The girls loved it, and Alice Liddell asked Dodgson to write it down for her.",Auditory
She loved.. to watch the lovely shadows in the silent depths of the placid mere.,Auditory
Don loved the minihamburgers even though they gave him horrible indigestion.,Auditory
Mark Lever of the National Autistic Society wants families fully involved in decisions about care decisions for their loved ones.,Auditory
"Years later he came to regret not going to university, but at the time he loved his work as a journalist and felt passionately about his career.",Auditory
"He loved New York but felt the city was threatened by commercialism and vulgarity, and he no longer felt at home there.",Auditory
"The term used in the work Kin is a recurring theme of Emin's to describe those dear to her, her loved ones.",Auditory
"For over 60 years of ITV, the homegrown programmes have become the best loved and remembered as well as being extremely successful.",Auditory
His affectionate disposition and genial manners made him much loved and held in warm regard by many of his contemporaries.,Auditory
"He loved practical jokes, and allegedly kept a halfpenny in his pocket to trick pickpockets.",Auditory
"Characters are given to killing loved ones by mistake, and dying of grief, or of joy.",Auditory
"She was mixed race like me, a great student who'd been top of her class, who played piano and loved Nina Simone.",Auditory
"Gildas was a subject of the mythical King Arthur, whom he loved and desired to obey.",Auditory
"The narcissus or daffodil is the most loved of all English plants, and appears frequently in English literature.",Auditory
"John loved being with his sister, but from time to time he wished she had an on-off switch.",Auditory
The Greeks believed that seals loved both the sea and sun and were considered to be under the protection of the gods Poseidon and Apollo.,Auditory
"The little boy put ooo at the end of his letter to Grandma, to let her know he loved her.",Auditory
"The children loved the slide, and they went on it over and over until it got dark outside.",Auditory
"The Abbey graveyard is also the final resting place of John Smith, the former Labour Party leader, who loved Iona.",Auditory
"She pounced on the young man, because she loved him and wanted him for herself.",Auditory
"My younger brother, Brendan, mentioned that she loved her garden, spent pucks of time mucking around in it, even read books on the matter.",Auditory
"The infamous purple drank made me dizzy and sick, but I loved its aftertaste.",Auditory
"Good at planning, he loved the common people and wished to save their labor.",Auditory
"Uncle loved the desnsity of the tungsten he made, and its refractoriness, its great chemical stability.",Auditory
"Potter attempts to reason with his daughter, but she tells him she wants to be loved and not simply marry someone because he can provide for her.",Auditory
"He won a Classics scholarship to Oxford University and, although he loved university life, he found the tuition dull.",Auditory
"Benson, formerly a greatly loved master at Eton, and by this time a don at Magdalene College.",Auditory
It was a tearful and heartfelt reunion as the trapped miners finally saw their dear loved ones again.,Auditory
Many believe in the spirit world and often try to stay in contact with their loved ones.,Auditory
"Their relationship had weathered some rocky times, but they loved each other.",Auditory
Tory Bezazian was a veteran Scientologist who loved going after church critics. Until she met the darkest detractor of all.,Auditory
"Shamy has become one of TV's most loved couples, and this season is crucial to the development of this relationship.",Auditory
"He kept always good clerks, he loved money, was smooth-tongued, gave good words, and seldom lost his temper.",Auditory
He was a laconic old soul who loved spacing only a jot better than he loved Martian alky.,Auditory
"Jason dons a screwed-up accent that Madonna would be proud of. While Martine, loved for being a cockney sparra, unfortunately goes posh.",Auditory
The routines at Lochranza Court suited her down to the ground and she loved her friends.,Auditory
I loved those red shoes but I couldn't thoil it in addition to the new dress I'd bought.,Auditory
Throwback Thursday is another way to integrate your loved one into your life online.,Auditory
"Generally, by the time you are Real, most of your hair has been loved off and your eyes drop out and you get loose in the joints and very shabby.",Auditory
"It set off a tsunami of debate among the more esoteric critics, who either loved it or hated it but could not ignore it.",Auditory
"I loved you. I was a pentapod monster, but I loved you. I was despicable and brutal, and turpid, and everything, mais je t'aimais, je t'aimais!",Auditory
"I loved this scene, because I secretly believed I was like Andie.",Auditory
"Dearly as he loved to talk, he could not enjoy nor shine in a conversation when he thought himself unsuitably dressed.",Auditory
"Those she loved best had all parted from her, and she remained to battle for existence alone, with a crowd of unsympathizers round her.",Auditory
"She loved children, and in default of them she delighted in the poetic fiction of dreamchildren.",Auditory
"I had been feeling like a bowling-alley widow, but knew he loved the game, so I suggested we join a mixed league.",Auditory
"But when he created his own superheroes, the companies he once loved became his archenemies.",Auditory
"I took any means to get access to you. O speak to me, Sophia! comfort my bleeding heart. Sure no one ever loved, ever doated like me.",Auditory
They were hospitable and loved company We sat on a dhurrie under the open sky.,Auditory
There's no easy way to describe this episodic French film except to say it's an arthouse effort to be either loved or hated.,Auditory
"Little is known of their domestic life, save that Tacitus loved hunting and the outdoors.",Auditory
"He loved hummus, mutabol and baba ganoush, but his favourite was fatoush salad.",Auditory
The pair loved to take pictures in the decaying hospital on forty-third street.,Auditory
"I have lost the taste of joy, and the sight of youth and beauty recalls to my memory that treasure of both, my loved and lost Arline.",Auditory
"Since then, barrow has been periodically loved and hated by both sides.",Auditory
Teacher Jon Warrener said the show was full of energy and parents who came to watch loved every minute.,Auditory
"His honesty, the warriorlike way he leads by example and his innate football ability meant his team mates loved him.",Auditory
"Friends looked on the corpse of him they loved, and among the truest mourners was the unintentional amicide.",Auditory
"Every month, Andrew, and Jennifer took Oscar to Ty Hafan where he loved lying on a water bed and listening to stories.",Auditory
"When Collins coaxed him back, the folk audience loved him even more.",Auditory
Rod was my home slice. He and I rolled up scumbags together for two years in SWAT. I loved that guy.,Auditory
"He settled down to the cryptic in the Independent. He loved his crossword. It kept him mentally active, just as gossip did his wife.",Auditory
She loved her hippietastic mom but wasn't quite sure she was ready to introduce her Constance friends to her.,Auditory
"He knew I loved him like a big brother, and I knew the feeling was mutual.",Auditory
"He had loved too well to imagine himself a glorious racehorse, and now he was condemned to toil without honour like a costermonger's donkey.",Auditory
"Dearly loved mam of Derek and Chris, mother in law of Adry and a loving granny of Amber and Carl.",Auditory
"Many valley sides are now a mass of bracken with scattered hawthorn, much loved by whinchats.",Auditory
I loved the pristine white water lilies looking exquisite in the sort of old zinc bath that grandfather washed his feet in.,Auditory
"How often, alas! did her eyes say unto me that they loved! and yet I, not looking for such a matter, had not my conceit open to understand them.",Auditory
"Francis came to learn chivalry, dancing, and music and he loved archery, falconry, horseback riding, hunting, jousting, real tennis and wrestling.",Auditory
"Despite this, Turing continued to show remarkable ability in the studies he loved, solving advanced problems in 1927 without having studied even elementary calculus.",Auditory
"Denis also told me to me pull my head in on The Footy Show, but that was never going to happen. I loved being the class clown on that show too much.",Auditory
"He didn't always explain what his words meant, but children can work them out because they often sound like a word they know, and he loved using onomatopoeia.",Auditory
It is our prayer that the manner in which we express our different views and deep disagreements will bear witness to Jesus who calls us to love as he has loved us.,Auditory
"Hughes loved hunting and fishing, swimming and picnicking with his family.",Auditory
"I must suppose, indeed, that he was fond of preaching sermons, and so am I, though I never heard it maintained that either of us loved to hear them.",Auditory
"Should Victor refuse his request, The Creature also threatens to kill Victor's remaining friends and loved ones and not stop until he completely ruins him.",Auditory
"Wine loved I deeply, dice dearly, and in woman outparamoured the Turk.",Auditory
She asked him if he loved her and he replied that he did not.,Auditory
He loved to waterski and snowski and was inevitably gifted at both.,Auditory
She loved inventing some rare illness and going to some famous kurort.,Auditory
"And it came to pass, when he had made an end of speaking unto Saul, that the soul of Jonathan was knit with the soul of David, and Jonathan loved him as his own soul.",Auditory
"Specially in West Bengal, it is one of the most loved street foods.",Auditory
"I loved poetry in school, especially the rumpty-tumpty kind.",Auditory
He loved collecting beetles and bugs and assisting farmers in protecting their crops from such pests as the potato flea beetles and cotoneaster webworms.,Auditory
"She renewed contact with the rabbi and other orthodox patients in the hospital, went to all the religious services, and loved nothing so much as lighting the Shabbas candles.",Auditory
"So we just phoned Dave up and said 'Look, come down, let's see how this works out', and everyone loved what we were doing, so we decided to stay with him.",Auditory
"Once upon a time, there was a yeti who loved jellybeans and ballet.",Auditory
"My aunt especially loved the smaller fern houses, the ferneries.",Auditory
"Small wonder if he had loved her for herself, she was so beautiful.",Auditory
"Uncommon for such marriages of the period, the couple loved each other.",Auditory
"And it came to pass, when he had made an end to speaking unto Saul, that the soul of Jonathan was knit with the soul of David, and Jonathan loved him as his own soul.",Auditory
Sarah was an adventurist who loved sports and was an excellent swimmer.,Auditory
"Through the starlet night, under the moon, they dreamed and loved.",Auditory
"So when he tried to talk, he studder an that made him upset even more, an then he just slowly told his grandma that he didn't know, but that he loved her.",Auditory
"I know he's writing about Princess. Jislaaik, he loved that chick.",Auditory
I've always been a bit of an adrenaline junky and I loved every second.,Auditory
"I replied, as I usually did whenever I had a chance, that nobody had ever loved anybody else as I loved Dora. Traddles came to my assistance with a confirmatory murmur.",Auditory
He asks the audience if they believe that they will be more loved by the gods if the city is in a state of faction than if they govern the city with good order and concord.,Auditory
Many agreed that this was a disgraceful and disrespectful way to end a long running and much loved competition which had provided so many fine memories for generations.,Auditory
"In holy orders no one is better loved than he who lives chastely, because chastity is the first principle for any cleric as well as the foundation of his life.",Auditory
"Llewellyn, a Briton, was much loved and respected by the entire crew.",Auditory
"I spent so much time at home. I found myself becoming a TVaholic. I loved reruns and old movies. I fantasized a lot about being rich, beautiful, and of course, married.",Auditory
"Demand for funeral celebrants has surged across Ireland, as more and more families look to lay their loved ones to rest in non-religious ceremonies.",Auditory
"And now, having once loved, she will be slow to unlove again.",Auditory
The intention of the ICRC was to provide the families of the prisoners with some hope and solace and to alleviate their uncertainties about the fate of their loved ones.,Auditory
"This instance belongs to the field of osphresiolagnia, the fetishistic-libidinal attachment to odors, especially those emanating from some part of the loved one's body.",Auditory
Over the years BBC Scotland made a number of well known and much loved radio and television programmes both for the BBC networks and for transmission in Scotland only.,Auditory
The demand to be loved is the greatest of all arrogant presumptions.,Auditory
"I just grinded it out and played hard, and these fans loved that.",Auditory
"They were expert in weaving and dyeing, and loved bright colours.",Auditory
"John a Gaunt loved him well, and betted much money on his head.",Auditory
They sent it back to the table and the bus driver absolutely loved it.,Auditory
"He who has loved quiet, who has so long shunned publicity, must school himself to be cheered and beclapped and huzzaed by thousands every time he lets himself be seen.",Auditory
"Though not loved by his subjects, he was feared and respected.",Auditory
"We organized a knitting club, which she loved to do, and she discovered that a lot of the stuff in her apartment could be turned into artsy-craftsy projects.",Auditory
She loved tribbing and knew that this was going to be a great experience.,Auditory
"And Hall, usually so merry, could outfoot them all when he once got started on the cosmic pathos of religion and the gibbering anthropomorphisms of those who loved not to die.",Auditory
"The Great War poet Wilfred Owen was a resident, whilst his fellow poet Mary Webb much loved the town and referred to it many a time in her works under the guise of Silverton.",Auditory
"You should have heard him speak of what he loved.... Here was a piece of experience solidly and livingly built up in words, here was a story created.",Auditory
"The first relates the adventures of a knight who married the young duchess of Calabria, niece of King Meleager of Sicily, but was loved by Medea, the king's wife.",Auditory
I felt myself the protector of my loved one. She leaned against me.,Auditory
"It didn't matter that her spinal cord was severed or that she had been a wheelchair user for twenty years, she had walked into the arms of her loved one.",Auditory
Speck disagreed with my assessment of the dream and my theory that dreams are easily analyzed and interpreted.,Visual
The dream quickly turned into a nightmare as poor reliability on the track and fierce internal squabbling made the team a laughing stock.,Visual
I dream of a place and a time where America will once again be seen as the last best hope of earth.,Visual
And we dread to think how much money was paid to consultants to dream up this nonsense.,Visual
The public still seems to have an abiding faith in the American dream of achieving affluence.,Visual
It's all about being allowed to fulfill the American dream to succeed no matter who you are.,Visual
"It was a unifying creed for diversity of belief and faith, for the American dream of achieving individual liberty.",Visual
How did the Martinez family manage to achieve the American dream during a period when high taxes were supposedly thwarting that dream?,Visual
"It was a dream in which man cast off his atomic individuality, as the lycanthrope surrendered to the multiplicity of the wolf pack.",Visual
"I had a dream that the government changed all the traffic lights from red, amber, and green to just red and green.",Visual
"We all shared a wish, a hope, and a dream to bring back justice, freedom and most of all fun.",Visual
"Maybe I'd be able to experience a lucid dream and explore the deeper, darker reaches of my mind.",Visual
I did have the dream that I might become some sort of alt-rock goddess in the States.,Visual
My head is swimming with dreams and schemes and the overwhelming desire to hop a bus or a train or a plane and make this dream happen.,Visual
Climbing petrol prices have encouraged others to hang up their car keys and sit astride their dream machine for the morning journey to work.,Visual
"Finally, I am able to bring you a new dream this morning, on a proud occasion for this website and my other web writings.",Visual
"Maybe in that deep, dark recess of my soul, I just want to be able to dream again.",Visual
It seemed like a dream that I would soon be flying on a fantastic airliner.,Visual
"He played football but longed to be a kick-boxer, a dream that perished on the rock of short and stumpy legs.",Visual
Show More Sentences,Visual
This has been a dream for the past 28 years since I saw my first wind harp on a ridge in Vermont.,Visual
Now I have a dream that the primary school children of today might grow up in a nation that does not know wincers and eye rollers.,Visual
"For Derricke's final image is actually an idea, his dream of the successful civilization of the wild Irish.",Visual
You are the reapers of the dream envisioned by your parents and grandparents.,Visual
"Then she applied to Nehemiah, found a realtor, and went searching for her dream home.",Visual
"A dream wedding turned into a disaster after 24 guests went down with food poisoning, including the groom.",Visual
"The authorities, in all their wisdom, really ought to dream up a more appealing format, you feel.",Visual
"To date, broadband is rolling out faster in Ireland than in any other country in Europe, so perhaps this dream could become a reality.",Visual
But a York research team is at the forefront of a project which aims to make this previously far-fetched dream a reality.,Visual
Lia shivered at the chill in the air and at the fact that her dream might become a reality.,Visual
Thomas Watson's dream became a reality when he bestowed a magnificent gift on the town by giving Howard House to be site for the new hospital.,Visual
"From the age of six, when he first picked up a guitar he dreamed of being a star, and now that dream could well be realised.",Visual
She was finally realizing her biggest dream and she couldn't give it all up for a stupid guy.,Visual
A Mitchell woman's dream will be realized on July 6 when the first soup kitchen opens in Steinbach.,Visual
It had also pepped up his spirits to realise a higher dream like participating in an international event.,Visual
"In the first chapter, Gutfeld asks if the European dream of Enlightenment was realized in America.",Visual
He died before their dream could be realised but not before he became the largest single owner of the cars in the world.,Visual
"For John Cooper, Russell Ward and Joe Dixon, the dream had finally been realised.",Visual
The realization of Roy's dream would have occurred through his presentation of the music to a sophisticated European or American audience.,Visual
The realisation of a life-long dream was sealed with a kiss for the new President-elect at the weekend.,Visual
Show More Sentences,Visual
This was the realisation of a dream to produce objects that looked good and did the job they were designed to do.,Visual
"So aggro my random thoughts turn to incomprehensible, violent acts I would not dream to act on.",Visual
It's almost like I've been having an extremely realistic dream of rolling over and readjusting my pillow a lot.,Visual
How will adults recognize the importance of objects kids value and dream about?,Visual
He readily admits that it is a dream job for someone who has been passionate about cars since boyhood.,Visual
"She is a sentimental person who would not dream of parting with diaries, photos, ornaments and keepsakes.",Visual
"He kept his own counsel, did not appear to let the speculation affect him in any way and, ultimately, secured his dream move to Liverpool.",Visual
"But despite the pressure, the young Norwegian kept his head and battled through the bad times to realize his dream and win his first world title.",Visual
"The blue, blue sea, specked with whitecaps, the dramatic, green-clad peaks, and the colorful beachside villages look like a dream come true.",Visual
"The birds were singing and even the soft breeze whispered in his ears, all helping to make the discomforting dream fade away.",Visual
Her mind was whirling with what a sight that would be when his coughing brought her back to reality and out of dream land.,Visual
They dream of a return to that now vanished golden era when a Northern stand-up comedian with a trade-mark whine for a voice led the party.,Visual
"There are ballads, blues and western swing, and Burch describes it as music you might hear in a dream and try in vain to remember in the morning.",Visual
Tonight I read of rugged Newfoundland coastlines and dream of fog-drenched villages and rainswept fishing boats.,Visual
"The children were able to dip into various craft activities, such as making didgeridoos, rain sticks, dream catchers and drums.",Visual
"I didn't want to rain on his parade, so I kept my mouth shut about my frustrated dream of becoming a marine biologist.",Visual
"As time dragged on, they realised that they weren't going to find their dream home.",Visual
He was almost last out of traps but hugging the rails enjoyed a dream run up the inside to lead at the turn.,Visual
Shes A Whisper was last out of traps on the inside but enjoyed a dream run up the rails which left her clear at the turn.,Visual
I could say that the effect of the dream was to leave me feeling limp and ragged all day since.,Visual
Show More Sentences,Visual
"With no flights available due to overbooking and the official weigh-in only six hours away, her dream of competing was again in jeopardy.",Visual
"My writing style was a lot more fluid and readable in the dream too, shame I don't remember any of the actual words.",Visual
I've done quite a number of roles which would be dream roles for other actresses.,Visual
"A jink, a change of pace and it was to the endline to hammer across balls the sort great headers dream of.",Visual
"Though born and brought up in a conservative Sikh family in Norway, she always had a dream of acting in a Bollywood film.",Visual
"For there are many such people who would never dream of obtaining money and wealth either at the expense of others, or by ill-gotten gains.",Visual
"Today's photo is a dream of nearly all anglers, to catch two jewfish this size.",Visual
"A trip to a Caribbean island may be a favorite prize for a TV quiz show, but it has never been my dream of a holiday.",Visual
"Cottonseeds treated with this would yield 20 quintals per acre, a quantity farmers do not dream of even with the best of the BT-Cotton seeds.",Visual
To the bitter end he kept waving under her nose a brochure of their dream house across town.,Visual
"This is all about me baby, and my dream of accumulating a vast fortune by exploiting the stupidity of the reading audience.",Visual
"The Victorians had a dream that Whitby could match the gilded splendour of Harrogate, and the thermal spring waters of Bath.",Visual
"Exhibition of serious cinema, not only Assamese but in other Indian languages as well, is like a dream here.",Visual
I dream of travelling to the countries that are washed by the Mediterranean Sea.,Visual
It will be a dream come true for all those who can't think past flowers to score with their girlfriends.,Visual
But I couldn't imagine any of these bad dream poems having a salutary effect on the peace gathering.,Visual
"He fulfilled a dream chased by many wannabee parents, taking the opportunity to drive his wife and child home from hospital.",Visual
"Want to make your dream girl or dream boy, the one who will not give you the time of day, fall head over heels in love with you?",Visual
